benchmark,total_ns,min_ns,max_ns,mean_ns,median_ns,p95_ns,p99_ns,ops_count,ops_per_sec
bulk_insert,83134200,83134200,83134200,83134200,83134200,83134200,83134200,1,12.03
point_query_seqscan,178592200,16873300,19524900,17859220,17907300,19524900,19524900,10,55.99
full_scan,4072300,397900,416100,407230,408600,416100,416100,10,2455.61
range_query_seqscan,2289000,199200,408300,228900,205500,408300,408300,10,4368.72
point_query_indexscan,70706500,6439600,7993500,7070650,6936000,7993500,7993500,10,141.43
range_query_indexscan,1173700,115400,125600,117370,116600,125600,125600,10,8520.06
update,6221400,6221400,6221400,6221400,6221400,6221400,6221400,1,160.74
delete,3259200,3259200,3259200,3259200,3259200,3259200,3259200,1,306.82
group_by_count,488800,488800,488800,488800,488800,488800,488800,1,2045.83
group_by_sum_avg,4815900,436700,648400,481590,455600,648400,648400,10,2076.46
join,4535000,418500,517100,453500,433600,517100,517100,10,2205.07
left_join,4610500,431300,532200,461050,449200,532200,532200,10,2168.96
order_by_limit,3366500,317900,398800,336650,327200,398800,398800,10,2970.44
min_max,3372000,262300,432400,337200,326300,432400,432400,10,2965.60
create_index,479800,479800,479800,479800,479800,479800,479800,1,2084.20
unique_index,468300,468300,468300,468300,468300,468300,468300,1,2135.38
point_query_no_index,81702000,16122900,16699900,16340400,16299600,16699900,16699900,5,61.20
point_query_with_index,34320300,6770800,6953100,6864060,6889300,6953100,6953100,5,145.69
txn_commit_throughput,26903100,5345900,5424500,5380620,5376300,5424500,5424500,5,185.85
txn_rollback_overhead,32101100,5386800,9607200,6420220,5743600,9607200,9607200,5,155.76
mixed_readwrite,150285400,27513500,31985500,30057080,30001000,31985500,31985500,5,33.27
