benchmark,total_ns,min_ns,max_ns,mean_ns,median_ns,p95_ns,p99_ns,ops_count,ops_per_sec
bulk_insert,1703271300,1703271300,1703271300,1703271300,1703271300,1703271300,1703271300,1,0.59
point_query_seqscan,25183644700,2437065100,2635548800,2518364470,2517754000,2635548800,2635548800,10,0.40
full_scan,995835800,90955600,113192000,99583580,99160500,113192000,113192000,10,10.04
range_query_seqscan,300075200,27025600,35354200,30007520,29378700,35354200,35354200,10,33.32
point_query_indexscan,2567885600,223872300,291349200,256788560,262659200,291349200,291349200,10,3.89
range_query_indexscan,131029300,11834000,15155600,13102930,13077700,15155600,15155600,10,76.32
update,63505500,63505500,63505500,63505500,63505500,63505500,63505500,1,15.75
delete,35011500,35011500,35011500,35011500,35011500,35011500,35011500,1,28.56
group_by_count,146031300,146031300,146031300,146031300,146031300,146031300,146031300,1,6.85
group_by_sum_avg,1613845400,137688200,192291900,161384540,169851100,192291900,192291900,10,6.20
join,792758000,67641200,83095700,79275800,81123600,83095700,83095700,10,12.61
left_join,723601700,64816700,80143300,72360170,72061100,80143300,80143300,10,13.82
order_by_limit,3194298900,291350200,335626500,319429890,329965300,335626500,335626500,10,3.13
min_max,297586100,27093000,35059000,29758610,29644000,35059000,35059000,10,33.60
create_index,53918900,53918900,53918900,53918900,53918900,53918900,53918900,1,18.55
unique_index,45904700,45904700,45904700,45904700,45904700,45904700,45904700,1,21.78
point_query_no_index,12987105200,2389025100,2733805700,2597421040,2670776000,2733805700,2733805700,5,0.38
point_query_with_index,1161395600,221828600,262051500,232279120,226130600,262051500,262051500,5,4.31
txn_commit_throughput,782574900,152831800,160344400,156514980,156502600,160344400,160344400,5,6.39
txn_rollback_overhead,264164500,47299200,61319800,52832900,51841600,61319800,61319800,5,18.93
mixed_readwrite,13225804600,2003910100,3181184400,2645160920,2673455400,3181184400,3181184400,5,0.38
