benchmark,total_ns,min_ns,max_ns,mean_ns,median_ns,p95_ns,p99_ns,ops_count,ops_per_sec
bulk_insert,1044369500,1044369500,1044369500,1044369500,1044369500,1044369500,1044369500,1,0.96
point_query_seqscan,15648215000,1471926200,1704267900,1564821500,1558390200,1704267900,1704267900,10,0.64
full_scan,565132800,55808900,57508500,56513280,56558100,57508500,57508500,10,17.69
range_query_seqscan,174481700,17148200,17810300,17448170,17363600,17810300,17810300,10,57.31
point_query_indexscan,2555810700,188227600,313777600,255581070,265133100,313777600,313777600,10,3.91
range_query_indexscan,102403300,8908800,12024000,10240330,10592000,12024000,12024000,10,97.65
update,142775500,142775500,142775500,142775500,142775500,142775500,142775500,1,7.00
delete,97275300,97275300,97275300,97275300,97275300,97275300,97275300,1,10.28
group_by_count,75623800,75623800,75623800,75623800,75623800,75623800,75623800,1,13.22
group_by_sum_avg,766082200,69732400,91314700,76608220,74383900,91314700,91314700,10,13.05
join,464815600,36792800,59167600,46481560,47154400,59167600,59167600,10,21.51
left_join,480845000,39852500,56082700,48084500,50042200,56082700,56082700,10,20.80
order_by_limit,1568646000,145926400,178515900,156864600,155329500,178515900,178515900,10,6.37
min_max,154884200,13463200,20030700,15488420,15215400,20030700,20030700,10,64.56
create_index,28520800,28520800,28520800,28520800,28520800,28520800,28520800,1,35.06
unique_index,26389300,26389300,26389300,26389300,26389300,26389300,26389300,1,37.89
point_query_no_index,8158038400,1477827200,1837413100,1631607680,1612602100,1837413100,1837413100,5,0.61
point_query_with_index,979942800,173372800,223282400,195988560,190596200,223282400,223282400,5,5.10
txn_commit_throughput,511123600,96379400,117818100,102224720,98160600,117818100,117818100,5,9.78
txn_rollback_overhead,553404200,97006700,146315800,110680840,100305400,146315800,146315800,5,9.03
mixed_readwrite,8475939800,1366902000,2070762500,1695187960,1670701500,2070762500,2070762500,5,0.59
