benchmark,total_ns,min_ns,max_ns,mean_ns,median_ns,p95_ns,p99_ns,ops_count,ops_per_sec
bulk_insert,1050862000,1050862000,1050862000,1050862000,1050862000,1050862000,1050862000,1,0.95
point_query_seqscan,14800985000,1444019000,1531780600,1480098500,1474562800,1531780600,1531780600,10,0.68
full_scan,507647500,49450400,56141500,50764750,50414700,56141500,56141500,10,19.70
range_query_seqscan,157759000,15638100,16047900,15775900,15748200,16047900,16047900,10,63.39
point_query_indexscan,1856426600,171169300,201385400,185642660,187014300,201385400,201385400,10,5.39
range_query_indexscan,69222600,6839500,7159000,6922260,6913700,7159000,7159000,10,144.46
update,110437400,110437400,110437400,110437400,110437400,110437400,110437400,1,9.05
delete,56358200,56358200,56358200,56358200,56358200,56358200,56358200,1,17.74
group_by_count,81799600,81799600,81799600,81799600,81799600,81799600,81799600,1,12.22
group_by_sum_avg,815042600,79177200,84115000,81504260,81380300,84115000,84115000,10,12.27
join,415934800,40146900,42969900,41593480,41784400,42969900,42969900,10,24.04
left_join,428807800,41473900,43560400,42880780,43237300,43560400,43560400,10,23.32
order_by_limit,1644276000,159624100,170235500,164427600,165060900,170235500,170235500,10,6.08
min_max,164851400,15914400,16946700,16485140,16595700,16946700,16946700,10,60.66
create_index,28689600,28689600,28689600,28689600,28689600,28689600,28689600,1,34.86
unique_index,28906300,28906300,28906300,28906300,28906300,28906300,28906300,1,34.59
point_query_no_index,7674798700,1488620200,1642152000,1534959740,1524025600,1642152000,1642152000,5,0.65
point_query_with_index,999084100,196128000,202345200,199816820,201991700,202345200,202345200,5,5.00
txn_commit_throughput,568111900,110691700,115926800,113622380,114828100,115926800,115926800,5,8.80
txn_rollback_overhead,563832900,105354900,117050500,112766580,114080000,117050500,117050500,5,8.87
mixed_readwrite,8707901000,1357763200,2165463100,1741580200,1691293800,2165463100,2165463100,5,0.57
