benchmark,total_ns,min_ns,max_ns,mean_ns,median_ns,p95_ns,p99_ns,ops_count,ops_per_sec
bulk_insert,1998129500,1998129500,1998129500,1998129500,1998129500,1998129500,1998129500,1,0.50
point_query_seqscan,16627143400,1594238500,1816145100,1662714340,1647574300,1816145100,1816145100,10,0.60
full_scan,595945300,55145000,63860000,59594530,60643700,63860000,63860000,10,16.78
range_query_seqscan,182067200,16479800,19289400,18206720,18523600,19289400,19289400,10,54.92
point_query_indexscan,2319048600,224175700,249519000,231904860,230133200,249519000,249519000,10,4.31
range_query_indexscan,86746400,7869000,9603900,8674640,8819700,9603900,9603900,10,115.28
update,41548100,41548100,41548100,41548100,41548100,41548100,41548100,1,24.07
delete,20087500,20087500,20087500,20087500,20087500,20087500,20087500,1,49.78
group_by_count,114600000,114600000,114600000,114600000,114600000,114600000,114600000,1,8.73
group_by_sum_avg,968468100,91845200,106325900,96846810,95524700,106325900,106325900,10,10.33
join,504660200,45919600,52908700,50466020,51245100,52908700,52908700,10,19.82
left_join,514767800,45723400,56075600,51476780,51592000,56075600,56075600,10,19.43
order_by_limit,1717805900,162111300,179442300,171780590,173536400,179442300,179442300,10,5.82
min_max,168268800,15897600,18440900,16826880,16674200,18440900,18440900,10,59.43
create_index,29192900,29192900,29192900,29192900,29192900,29192900,29192900,1,34.25
unique_index,33501700,33501700,33501700,33501700,33501700,33501700,33501700,1,29.85
point_query_no_index,8904984200,1769867100,1793436300,1780996840,1779733900,1793436300,1793436300,5,0.56
point_query_with_index,1260675700,242879600,272149300,252135140,246338800,272149300,272149300,5,3.97
txn_commit_throughput,1530792500,295928600,327332100,306158500,303335300,327332100,327332100,5,3.27
txn_rollback_overhead,951454700,184688700,195340600,190290940,189845800,195340600,195340600,5,5.26
mixed_readwrite,9780611200,1559470300,2338258100,1956122240,1970553400,2338258100,2338258100,5,0.51
